Date,Price,Open,High,Low,Change %
18-Oct-19,"1,490.10","1,492.17","1,494.26","1,484.82",-0.12%
17-Oct-19,"1,491.89","1,490.55","1,497.50","1,483.45",0.14%
16-Oct-19,"1,489.77","1,481.13","1,491.65","1,477.06",0.58%
15-Oct-19,"1,481.17","1,493.20","1,498.17","1,477.53",-0.79%
14-Oct-19,"1,492.90","1,488.90","1,497.38","1,482.82",0.20%
11-Oct-19,"1,489.85","1,494.44","1,503.45","1,474.28",-0.30%
10-Oct-19,"1,494.30","1,505.60","1,517.08","1,491.42",-0.76%
9-Oct-19,"1,505.70","1,506.05","1,511.60","1,499.70",0.01%
8-Oct-19,"1,505.51","1,493.55","1,508.71","1,487.45",0.80%
7-Oct-19,"1,493.60","1,504.76","1,509.64","1,489.94",-0.73%
4-Oct-19,"1,504.60","1,505.19","1,511.17","1,497.15",-0.03%
3-Oct-19,"1,505.00","1,499.55","1,518.81","1,495.99",0.37%
2-Oct-19,"1,499.51","1,479.19","1,505.11","1,474.42",1.39%
1-Oct-19,"1,478.98","1,472.30","1,487.37","1,459.00",0.46%
30-Sep-19,"1,472.25","1,497.07","1,500.50","1,464.42",-1.65%
27-Sep-19,"1,496.94","1,506.00","1,507.70","1,487.04",-0.59%
26-Sep-19,"1,505.80","1,503.94","1,512.70","1,501.97",0.11%
25-Sep-19,"1,504.15","1,532.00","1,535.42","1,501.31",-1.84%
24-Sep-19,"1,532.30","1,522.40","1,535.85","1,515.80",0.67%
23-Sep-19,"1,522.11","1,516.66","1,527.25","1,511.50",0.33%
20-Sep-19,"1,517.15","1,499.40","1,517.24","1,497.90",1.20%
19-Sep-19,"1,499.20","1,494.00","1,504.35","1,488.90",0.35%
18-Sep-19,"1,493.90","1,501.55","1,511.32","1,484.36",-0.61%
17-Sep-19,"1,503.10","1,498.85","1,507.48","1,493.36",0.29%
16-Sep-19,"1,498.80","1,503.34","1,512.20","1,495.75",0.68%
13-Sep-19,"1,488.70","1,498.50","1,509.25","1,485.73",-0.68%
12-Sep-19,"1,498.95","1,497.50","1,523.96","1,488.80",0.09%
11-Sep-19,"1,497.60","1,486.45","1,498.56","1,485.00",0.75%
10-Sep-19,"1,486.40","1,499.00","1,501.45","1,484.27",-0.84%
9-Sep-19,"1,498.95","1,507.10","1,515.55","1,497.72",-0.53%
6-Sep-19,"1,506.95","1,519.20","1,527.90","1,502.89",-0.82%
5-Sep-19,"1,519.35","1,552.50","1,553.38","1,509.39",-2.14%
4-Sep-19,"1,552.60","1,547.10","1,557.38","1,533.81",0.36%
3-Sep-19,"1,547.00","1,529.60","1,549.90","1,521.51",1.07%
2-Sep-19,"1,530.59","1,520.10","1,533.81","1,519.15",0.68%
30-Aug-19,"1,520.25","1,527.60","1,533.45","1,517.43",-0.49%
29-Aug-19,"1,527.70","1,539.20","1,550.72","1,519.50",-0.74%
28-Aug-19,"1,539.10","1,541.80","1,547.03","1,531.55",-0.23%
27-Aug-19,"1,542.65","1,526.30","1,544.78","1,524.85",1.07%
26-Aug-19,"1,526.35","1,539.30","1,555.13","1,524.55",-0.03%
23-Aug-19,"1,526.85","1,499.00","1,530.11","1,493.05",1.87%
22-Aug-19,"1,498.80","1,502.20","1,504.68","1,491.85",-0.23%
21-Aug-19,"1,502.30","1,507.70","1,508.40","1,496.15",-0.32%
20-Aug-19,"1,507.10","1,495.60","1,508.60","1,492.85",0.79%
19-Aug-19,"1,495.30","1,511.15","1,513.00","1,492.65",-1.24%
16-Aug-19,"1,514.15","1,523.90","1,527.75","1,504.20",-0.59%
